url,img,lines,author
https://www.passiton.com/inspirational-quotes/7042-dont-cry-because-its-over-smile-because-it,https://assets.passiton.com/quotes/images/7042/large_20251031_friday_quote.jpg,"Don't cry because it's over, smile because it happened. #<Author:0x00007f8b389e1f40>",
https://www.passiton.com/inspirational-quotes/8145-if-you-see-someone-without-a-smile-give-them,https://assets.passiton.com/quotes/images/8145/large_20251030_thursday_quote.jpg,"If you see someone without a smile, give them one of yours. #<Author:0x00007f8b389e1040>",
https://www.passiton.com/inspirational-quotes/7045-sometimes-your-joy-is-the-source-of-your-smile,https://assets.passiton.com/quotes/images/7045/large_20251029_wednesday_quote.jpg,"Sometimes your joy is the source of your smile, and sometimes your smile is the source of your joy. #<Author:0x00007f8b389e0500>",
https://www.passiton.com/inspirational-quotes/7530-a-warm-smile-is-the-universal-language-of,https://assets.passiton.com/quotes/images/7530/large_20251028_tuesday_quote.jpg,A warm smile is the universal language of kindness. #<Author:0x00007f8b389ffc98>,
https://www.passiton.com/inspirational-quotes/3022-what-sunshine-is-to-flowers-smiles-are-to,https://assets.passiton.com/quotes/images/3022/large_20251027_monday_quote.jpg,"What sunshine is to flowers, smiles are to humanity. #<Author:0x00007f8b389ff518>",
https://www.passiton.com/inspirational-quotes/8315-do-not-judge-me-by-my-success-judge-me-by-how,https://assets.passiton.com/quotes/images/8315/large_20251024_friday_quote.jpg,"Do not judge me by my success, judge me by how many times I fell down and got back up again. #<Author:0x00007f8b389fe398>",
https://www.passiton.com/inspirational-quotes/8371-don-t-let-a-bad-day-trick-you-into-thinking-you,https://assets.passiton.com/quotes/images/8371/large_20251023_thursday_quote.jpg,Don’t let a bad day trick you into thinking you have a bad life. #<Author:0x00007f8b389fcbd8>,
https://www.passiton.com/inspirational-quotes/6940-hardships-often-prepare-ordinary-people-for-an,https://assets.passiton.com/quotes/images/6940/large_20251022_wednesday_quote.jpg,Hardships often prepare ordinary people for an extraordinary destiny. #<Author:0x00007f8b389fb7d8>,
https://www.passiton.com/inspirational-quotes/7409-sometimes-carrying-on-just-carrying-on-is,https://assets.passiton.com/quotes/images/7409/large_20251021_tuesday_quote.jpg,"Sometimes, carrying on, just carrying on, is the superhuman achievement. #<Author:0x00007f8b389faf18>",
https://www.passiton.com/inspirational-quotes/8314-life-doesn-t-get-easier-or-more-forgiving-we,https://assets.passiton.com/quotes/images/8314/large_20251020_monday_quote.jpg,"Life doesn’t get easier or more forgiving, we get stronger and more resilient. #<Author:0x00007f8b389fa518>",
https://www.passiton.com/inspirational-quotes/6516-dont-judge-each-day-by-the-harvest-you-reap,https://assets.passiton.com/quotes/images/6516/large_20251017_friday_quote.jpg,"Don't judge each day by the harvest you reap, but by the seeds that you plant. #<Author:0x00007f8b389f8998>",
https://www.passiton.com/inspirational-quotes/6108-we-cannot-always-build-the-future-for-our,https://assets.passiton.com/quotes/images/6108/large_20251016_thursday_quote.jpg,"We cannot always build the future for our youth, but we can build our youth for the future.  #<Author:0x00007f8b389f7598>",
https://www.passiton.com/inspirational-quotes/6604-chance-favors-the-prepared-mind,https://assets.passiton.com/quotes/images/6604/large_20251015_wednesday_quote.jpg,Chance favors the prepared mind. #<Author:0x00007f8b389f6e18>,
https://www.passiton.com/inspirational-quotes/6682-give-me-six-hours-to-chop-down-a-tree-and-i,https://assets.passiton.com/quotes/images/6682/large_20251014_tuesday_quote.jpg,"Give me six hours to chop down a tree, and I will spend the first four sharpening the axe. #<Author:0x00007f8b389f6698>",
