theme,url,img,lines,author
SMILE,/inspirational-quotes/7042-dont-cry-because-its-over-smile-because-it,https://assets.passiton.com/quotes/images/7042/large_20251031_friday_quote.jpg,Don't,cry
SMILE,/inspirational-quotes/8145-if-you-see-someone-without-a-smile-give-them,https://assets.passiton.com/quotes/images/8145/large_20251030_thursday_quote.jpg,If,you
SMILE,/inspirational-quotes/7045-sometimes-your-joy-is-the-source-of-your-smile,https://assets.passiton.com/quotes/images/7045/large_20251029_wednesday_quote.jpg,Sometimes,your
SMILE,/inspirational-quotes/7530-a-warm-smile-is-the-universal-language-of,https://assets.passiton.com/quotes/images/7530/large_20251028_tuesday_quote.jpg,A,warm
SMILE,/inspirational-quotes/3022-what-sunshine-is-to-flowers-smiles-are-to,https://assets.passiton.com/quotes/images/3022/large_20251027_monday_quote.jpg,What,sunshine
RESILIENCY,/inspirational-quotes/8315-do-not-judge-me-by-my-success-judge-me-by-how,https://assets.passiton.com/quotes/images/8315/large_20251024_friday_quote.jpg,Do,not
RESILIENCY,/inspirational-quotes/8371-don-t-let-a-bad-day-trick-you-into-thinking-you,https://assets.passiton.com/quotes/images/8371/large_20251023_thursday_quote.jpg,Don’t,let
RESILIENCY,/inspirational-quotes/6940-hardships-often-prepare-ordinary-people-for-an,https://assets.passiton.com/quotes/images/6940/large_20251022_wednesday_quote.jpg,Hardships,often
RESILIENCY,/inspirational-quotes/7409-sometimes-carrying-on-just-carrying-on-is,https://assets.passiton.com/quotes/images/7409/large_20251021_tuesday_quote.jpg,"Sometimes,",carrying
RESILIENCY,/inspirational-quotes/8314-life-doesn-t-get-easier-or-more-forgiving-we,https://assets.passiton.com/quotes/images/8314/large_20251020_monday_quote.jpg,Life,doesn’t
PREPARATION,/inspirational-quotes/6516-dont-judge-each-day-by-the-harvest-you-reap,https://assets.passiton.com/quotes/images/6516/large_20251017_friday_quote.jpg,Don't,judge
PREPARATION,/inspirational-quotes/6108-we-cannot-always-build-the-future-for-our,https://assets.passiton.com/quotes/images/6108/large_20251016_thursday_quote.jpg,We,cannot
PREPARATION,/inspirational-quotes/6604-chance-favors-the-prepared-mind,https://assets.passiton.com/quotes/images/6604/large_20251015_wednesday_quote.jpg,Chance,favors
PREPARATION,/inspirational-quotes/6682-give-me-six-hours-to-chop-down-a-tree-and-i,https://assets.passiton.com/quotes/images/6682/large_20251014_tuesday_quote.jpg,Give,me
PREPARATION,/inspirational-quotes/8390-it-s-better-to-look-ahead-and-prepare-than-to,https://assets.passiton.com/quotes/images/8390/large_20251013_monday_quote.jpg,It’s,better
STEWARDSHIP,/inspirational-quotes/5575-there-are-no-problems-we-cannot-solve-together,https://assets.passiton.com/quotes/images/5575/large_20251010_friday_quote.jpg,There,are
STEWARDSHIP,/inspirational-quotes/8458-we-do-not-inherit-the-earth-from-our-ancestors,https://assets.passiton.com/quotes/images/8458/large_20251009_thursday_quote.jpg,We,do
STEWARDSHIP,/inspirational-quotes/8374-we-say-things-will-turn-out-but-no-its-what,https://assets.passiton.com/quotes/images/8374/large_20251008_wednesday_quote.jpg,We,say
STEWARDSHIP,/inspirational-quotes/8373-when-one-tugs-at-a-single-thing-in-nature-one,https://assets.passiton.com/quotes/images/8373/large_20251007_tuesday_quote.jpg,When,one
STEWARDSHIP,/inspirational-quotes/8375-let-us-develop-respect-for-all-living-things,https://assets.passiton.com/quotes/images/8375/large_20251006_monday_quote.jpg,Let,us
APPRECIATING NATURE,/inspirational-quotes/8110-i-took-a-walk-in-the-woods-and-came-out-taller,https://assets.passiton.com/quotes/images/8110/large_20251003_friday_quote.jpg,I,took
